Size,MergeSortTime,InsertionSortTime
12250,0.007351,0.076686
12300,0.007388,0.078632
12350,0.007438,0.078268
12400,0.007495,0.079462
12450,0.007365,0.078329
12500,0.007418,0.079814
12550,0.007459,0.080997
12600,0.007481,0.081589
12650,0.007481,0.082265
12700,0.007611,0.081503
12750,0.00756,0.083073
12800,0.007806,0.084893
12850,0.007785,0.085364
12900,0.007701,0.086342
12950,0.00768,0.086678
13000,0.007838,0.087119
13050,0.007737,0.087045
13100,0.007859,0.088386
13150,0.007892,0.088872
13200,0.007915,0.089024
13250,0.007968,0.090601
13300,0.007946,0.089134
13350,0.007991,0.090757
13400,0.007983,0.09151
13450,0.008031,0.093026
13500,0.008165,0.094328
13550,0.008255,0.093385
13600,0.008326,0.093886
13650,0.008147,0.095571
13700,0.008169,0.097008
13750,0.008295,0.09658
13800,0.008297,0.09758
13850,0.008352,0.098685
13900,0.008336,0.100024
13950,0.008312,0.100064
14000,0.008377,0.100483
14050,0.008438,0.101153
14100,0.008461,0.100632
14150,0.00862,0.102275
14200,0.008594,0.103125
14250,0.008533,0.105174
14300,0.008604,0.103861
14350,0.008696,0.105093
14400,0.008587,0.106672
14450,0.008842,0.106889
14500,0.008847,0.107798
14550,0.008804,0.107979
14600,0.008726,0.109476
14650,0.008691,0.109782
14700,0.008933,0.119169
14750,0.009124,0.112118
14800,0.00893,0.111642
14850,0.008899,0.112256
14900,0.008935,0.114698
14950,0.009189,0.114066
15000,0.009051,0.114805
15050,0.009005,0.114803
15100,0.009144,0.117066
15150,0.009131,0.115945
15200,0.00921,0.117771
15250,0.009194,0.11891
15300,0.009459,0.120009
15350,0.009493,0.121292
15400,0.009384,0.121789
15450,0.009247,0.122142
15500,0.009422,0.12301
15550,0.009315,0.122342
15600,0.009355,0.124693
15650,0.009535,0.126584
15700,0.009464,0.124942
15750,0.009454,0.127196
15800,0.009382,0.126638
15850,0.009703,0.128861
15900,0.009541,0.129287
15950,0.00968,0.130092
16000,0.009448,0.131214
16050,0.00961,0.133048
16100,0.009747,0.13329
16150,0.009667,0.134339
16200,0.009665,0.133785
16250,0.009742,0.13489
16300,0.009794,0.139133
16350,0.010235,0.13647
16400,0.010048,0.137105
16450,0.010098,0.139439
16500,0.009855,0.139173
16550,0.009997,0.139203
16600,0.010047,0.14174
16650,0.010057,0.143354
16700,0.010376,0.143014
16750,0.010396,0.144925
16800,0.010132,0.143857
16850,0.010334,0.144519
16900,0.010152,0.143968
16950,0.010331,0.147264
17000,0.010502,0.148773
17050,0.010372,0.149407
17100,0.010365,0.151445
17150,0.010427,0.149487
17200,0.010408,0.151764
17250,0.01052,0.151077
17300,0.010691,0.153758
17350,0.010449,0.154544
17400,0.010787,0.154322
17450,0.010731,0.156835
17500,0.010648,0.156944
17550,0.01088,0.158205
17600,0.010943,0.156986
17650,0.010813,0.15929
17700,0.010855,0.160115
17750,0.011078,0.161736
17800,0.010882,0.162423
17850,0.010895,0.168648
17900,0.011176,0.161786
17950,0.011129,0.16541
18000,0.010938,0.165811
18050,0.010984,0.166066
18100,0.011198,0.167403
18150,0.011114,0.168915
18200,0.011219,0.16945
18250,0.011092,0.169007
18300,0.011199,0.172712
18350,0.011448,0.172628
18400,0.011337,0.171637
18450,0.011315,0.175076
18500,0.011474,0.17558
18550,0.011427,0.177028
18600,0.011332,0.176291
18650,0.011355,0.177822
18700,0.011691,0.177035
18750,0.01157,0.179336
18800,0.011545,0.179001
18850,0.011703,0.184956
18900,0.011727,0.185687
18950,0.011721,0.185784
19000,0.011631,0.185608
19050,0.011745,0.186455
19100,0.011795,0.187573
19150,0.011867,0.188706
19200,0.011655,0.188511
19250,0.01185,0.192497
19300,0.01184,0.191137
19350,0.011779,0.188796
19400,0.012005,0.191092
19450,0.011901,0.19297
19500,0.011887,0.194376
19550,0.011905,0.194636
19600,0.011906,0.196734
19650,0.012135,0.196306
19700,0.012066,0.197908
19750,0.012088,0.199469
19800,0.012223,0.200744
19850,0.012188,0.200363
19900,0.012039,0.202633
19950,0.01239,0.203522
20000,0.012108,0.206685
20050,0.012312,0.207413
20100,0.012331,0.210612
20150,0.012254,0.211956
20200,0.012301,0.207943
20250,0.012248,0.208151
20300,0.012664,0.210834
20350,0.012352,0.210309
20400,0.012396,0.21274
20450,0.012634,0.213012
20500,0.012556,0.215312
20550,0.012731,0.218806
20600,0.012486,0.21602
20650,0.012585,0.217125
20700,0.012579,0.220251
20750,0.012696,0.220834
20800,0.012777,0.221929
20850,0.012789,0.221411
20900,0.012982,0.223876
20950,0.012896,0.227444
21000,0.012901,0.227668
21050,0.013329,0.225878
21100,0.012837,0.22814
21150,0.013188,0.230737
21200,0.012861,0.231707
21250,0.012947,0.231757
21300,0.013048,0.231451
21350,0.013157,0.233162
21400,0.013023,0.233388
21450,0.013313,0.235336
21500,0.013044,0.236024
21550,0.013182,0.23796
21600,0.013245,0.240159
21650,0.013109,0.241194
21700,0.013488,0.239926
21750,0.01351,0.241504
21800,0.013852,0.243922
21850,0.013443,0.244642
21900,0.013563,0.247251
21950,0.013715,0.247116
22000,0.013518,0.247078
22050,0.013593,0.250081
22100,0.035372,0.24793
22150,0.013636,0.249628
22200,0.014324,0.252727
22250,0.013797,0.253725
22300,0.013604,0.255538
22350,0.013636,0.257084
22400,0.013796,0.255312
22450,0.014023,0.25589
22500,0.013806,0.259866
22550,0.013932,0.259192
22600,0.014,0.264517
22650,0.013974,0.264357
22700,0.014002,0.267289
22750,0.01416,0.262094
22800,0.014222,0.265043
22850,0.01398,0.268218
22900,0.014205,0.266817
22950,0.014211,0.267316
23000,0.014142,0.268574
23050,0.014784,0.271529
23100,0.014719,0.2741
23150,0.014343,0.274437
23200,0.014394,0.273992
23250,0.014987,0.278162
23300,0.014422,0.279112
23350,0.014315,0.278706
23400,0.014356,0.279061
23450,0.014392,0.282274
23500,0.014511,0.282712
23550,0.014634,0.284446
23600,0.014593,0.283773
23650,0.014693,0.287309
23700,0.014653,0.288297
23750,0.014637,0.28899
23800,0.014355,0.289883
23850,0.014612,0.290647
23900,0.015237,0.292919
23950,0.014728,0.294165
24000,0.014655,0.293587
24050,0.01486,0.297654
24100,0.015064,0.296705
24150,0.014823,0.299315
24200,0.014801,0.298631
24250,0.015049,0.301621
24300,0.014827,0.300874
24350,0.01494,0.303911
24400,0.014906,0.304678
24450,0.014954,0.304196
24500,0.015185,0.309778
24550,0.015454,0.306837
24600,0.015044,0.309524
24650,0.015287,0.310514
24700,0.015096,0.313764
24750,0.015439,0.315016
24800,0.015312,0.313949
24850,0.015171,0.316571
24900,0.015403,0.316679
24950,0.015316,0.318666
25000,0.015311,0.318515
25050,0.015311,0.321258
25100,0.015415,0.322651
25150,0.015674,0.327382
25200,0.015673,0.325629
25250,0.015598,0.325565
25300,0.015599,0.327441
25350,0.015801,0.327578
25400,0.015649,0.329289
25450,0.015582,0.34181
25500,0.015839,0.333247
25550,0.015962,0.333846
25600,0.015719,0.334368
25650,0.016382,0.334903
25700,0.015882,0.33793
25750,0.015919,0.338103
25800,0.016483,0.341761
25850,0.016097,0.344001
25900,0.01602,0.346092
25950,0.016135,0.345672
26000,0.016143,0.345747
26050,0.016239,0.348213
26100,0.016153,0.348745
26150,0.015938,0.349208
26200,0.016571,0.352316
26250,0.01659,0.352927
26300,0.0165,0.353364
26350,0.016197,0.353901
26400,0.016274,0.358354
26450,0.016436,0.359432
26500,0.01646,0.360945
26550,0.016332,0.361612
26600,0.016732,0.36414
26650,0.016282,0.36319
26700,0.016735,0.368414
26750,0.016558,0.36587
26800,0.016644,0.368641
26850,0.016693,0.368048
26900,0.01667,0.373749
26950,0.016693,0.372801
27000,0.017238,0.380541
27050,0.01684,0.374854
27100,0.016843,0.373666
27150,0.016886,0.377196
27200,0.016823,0.37718
27250,0.016833,0.379297
27300,0.01703,0.381323
27350,0.016906,0.381166
27400,0.017185,0.385495
27450,0.017505,0.383956
27500,0.017421,0.385142
27550,0.017276,0.388696
27600,0.017368,0.39203
27650,0.017117,0.388714
27700,0.017158,0.391295
27750,0.01728,0.394821
27800,0.017244,0.392576
27850,0.017207,0.398785
27900,0.017388,0.396123
27950,0.017382,0.397135
28000,0.017737,0.400711
28050,0.017615,0.402476
28100,0.017395,0.401798
28150,0.017754,0.405595
28200,0.017941,0.406164
28250,0.017361,0.408952
28300,0.017501,0.405751
28350,0.017592,0.414496
28400,0.017576,0.415241
28450,0.017669,0.414646
28500,0.01788,0.415649
28550,0.018251,0.417631
28600,0.017918,0.4186
28650,0.017747,0.419907
28700,0.01789,0.422086
28750,0.01806,0.424046
28800,0.017965,0.427991
28850,0.018003,0.426521
28900,0.01792,0.430059
28950,0.018222,0.431266
29000,0.018159,0.42972
29050,0.017917,0.433063
29100,0.01806,0.429882
29150,0.018166,0.43144
29200,0.019076,0.43645
29250,0.018222,0.437572
29300,0.01836,0.44103
29350,0.018456,0.44283
29400,0.018345,0.442573
29450,0.018486,0.444817
29500,0.018978,0.448476
29550,0.018413,0.444264
29600,0.018388,0.448055
29650,0.01858,0.451286
29700,0.018737,0.448397
29750,0.018584,0.453493
29800,0.018545,0.453162
29850,0.018666,0.458065
29900,0.018634,0.456633
29950,0.018613,0.463884
30000,0.018671,0.459446
30050,0.019023,0.461203
30100,0.01871,0.465235
30150,0.018824,0.466591
30200,0.018917,0.471121
30250,0.018792,0.46823
30300,0.019231,0.466288
30350,0.018993,0.47252
30400,0.01893,0.471734
30450,0.019044,0.472383
30500,0.019142,0.474598
30550,0.019364,0.485015
30600,0.019626,0.477193
30650,0.019155,0.482847
30700,0.019583,0.489134
30750,0.019158,0.487302
30800,0.019152,0.485745
30850,0.019536,0.483564
30900,0.019354,0.488641
30950,0.019597,0.490916
31000,0.01944,0.495955
31050,0.019546,0.492977
31100,0.019657,0.496596
31150,0.019478,0.498066
31200,0.01987,0.501901
31250,0.019431,0.500196
31300,0.01946,0.502894
31350,0.019543,0.506487
31400,0.01939,0.506726
31450,0.019761,0.506351
31500,0.019753,0.508246
31550,0.020236,0.51213
31600,0.019775,0.517012
31650,0.01991,0.519311
31700,0.019891,0.512702
31750,0.020166,0.523117
31800,0.020012,0.51598
31850,0.020063,0.521791
31900,0.019914,0.519822
31950,0.020158,0.52326
32000,0.020423,0.522508
32050,0.019768,0.528225
32100,0.020638,0.531045
32150,0.020493,0.534538
32200,0.020239,0.535352
32250,0.020248,0.537004
32300,0.020661,0.547021
32350,0.020346,0.537774
32400,0.020128,0.535704
32450,0.020096,0.5383
32500,0.020402,0.543295
32550,0.020532,0.54867
32600,0.020431,0.544946
32650,0.020283,0.550026
32700,0.020758,0.548051
32750,0.020414,0.577838
32800,0.020372,0.553835
32850,0.020691,0.558606
32900,0.021206,0.553923
32950,0.020535,0.559384
33000,0.020978,0.559679
33050,0.021563,0.560111
33100,0.020596,0.561193
33150,0.020793,0.575
33200,0.020908,0.572856
33250,0.021024,0.569181
33300,0.021032,0.570673
33350,0.021165,0.578038
33400,0.020944,0.571872
33450,0.021623,0.573745
33500,0.021043,0.577333
33550,0.021181,0.578661
33600,0.021391,0.581447
33650,0.021291,0.577116
33700,0.020885,0.58271
33750,0.02145,0.587655
33800,0.02177,0.583607
33850,0.021324,0.59232
33900,0.021863,0.594375
33950,0.021416,0.592433
34000,0.021447,0.601221
34050,0.02192,0.597627
34100,0.021295,0.597272
34150,0.021703,0.602514
34200,0.021792,0.605168
34250,0.021615,0.609334
34300,0.02184,0.603131
34350,0.021783,0.60578
34400,0.021601,0.608292
34450,0.02222,0.612534
34500,0.021504,0.614457
34550,0.022059,0.616248
34600,0.021848,0.620507
34650,0.021765,0.61887
34700,0.021923,0.614498
34750,0.022022,0.618916
34800,0.021837,0.619302
34850,0.021963,0.623747
34900,0.022042,0.629588
34950,0.022302,0.627928
35000,0.022384,0.63136
35050,0.021949,0.627192
35100,0.022164,0.631091
35150,0.022518,0.63655
35200,0.022333,0.638236
35250,0.022091,0.643851
35300,0.022311,0.642332
35350,0.022457,0.636554
35400,0.022266,0.645297
35450,0.022374,0.649584
35500,0.022561,0.649696
35550,0.022576,0.65116
35600,0.022372,0.654578
35650,0.023122,0.649736
35700,0.022524,0.658522
35750,0.022498,0.657931
35800,0.022789,0.662197
35850,0.022652,0.659797
35900,0.023255,0.666447
35950,0.022849,0.660268
36000,0.023385,0.670462
36050,0.022894,0.673183
36100,0.022849,0.674426
36150,0.023042,0.671416
36200,0.023232,0.669515
36250,0.022813,0.674267
36300,0.023447,0.679074
36350,0.023154,0.678919
36400,0.02306,0.678221
36450,0.022878,0.681793
36500,0.023063,0.690016
36550,0.023425,0.68879
36600,0.023152,0.691967
36650,0.023254,0.689795
36700,0.023799,0.687528
36750,0.023638,0.689318
36800,0.023144,0.697091
36850,0.023795,0.693577
36900,0.023252,0.695907
36950,0.023329,0.712218
37000,0.02342,0.708623
37050,0.0234,0.711781
37100,0.023554,0.707265
37150,0.023396,0.706857
37200,0.023968,0.716302
37250,0.024038,0.718127
37300,0.024117,0.717389
37350,0.023598,0.719486
37400,0.024147,0.72321
37450,0.024387,0.722911
37500,0.023582,0.724003
37550,0.023918,0.725656
37600,0.023842,0.722247
37650,0.024654,0.739461
37700,0.024055,0.731402
37750,0.024021,0.737729
37800,0.024292,0.725982
37850,0.024281,0.737498
37900,0.023909,0.738857
37950,0.024158,0.74251
38000,0.0242,0.743494
38050,0.024047,0.746116
38100,0.024951,0.747091
38150,0.024171,0.751137
38200,0.024009,0.74963
38250,0.025124,0.753114
38300,0.024629,0.757629
38350,0.025144,0.764161
38400,0.024945,0.76242
38450,0.024782,0.760325
38500,0.024988,0.761086
38550,0.024549,0.762187
38600,0.024653,0.769027
38650,0.024489,0.768352
38700,0.024605,0.773165
38750,0.025359,0.771367
38800,0.024407,0.783529
38850,0.024695,0.775945
38900,0.025164,0.775412
38950,0.025361,0.800142
39000,0.024777,0.782327
39050,0.024949,0.786834
39100,0.025204,0.789934
39150,0.025471,0.794283
39200,0.024736,0.791717
39250,0.02527,0.789168
39300,0.024939,0.799128
39350,0.025279,0.79618
39400,0.024977,0.803634
39450,0.025828,0.803625
39500,0.025661,0.7987
39550,0.025822,0.807907
39600,0.025463,0.808245
39650,0.025726,0.811031
39700,0.025047,0.812888
39750,0.02641,0.815777
39800,0.025231,0.813801
39850,0.025214,0.82047
39900,0.025428,0.816023
39950,0.025739,0.820385
40000,0.025485,0.817967
40050,0.025452,0.824834
40100,0.025341,0.830151
40150,0.025582,0.825768
40200,0.025492,0.834961
40250,0.025553,0.842723
40300,0.025665,0.840082
40350,0.025673,0.857314
40400,0.028254,0.835703
40450,0.025661,0.844297
40500,0.025823,0.838961
40550,0.025618,0.842232
40600,0.026122,0.851321
40650,0.025815,0.849131
40700,0.025756,0.860871
40750,0.026012,0.865747
40800,0.025775,0.860775
