Size,MergeSortTime,InsertionSortTime
12300,0.007159,0.134192
12350,0.007205,0.134559
12400,0.007185,0.136062
12450,0.007575,0.137052
12500,0.007347,0.13841
12550,0.007426,0.139776
12600,0.007495,0.140157
12650,0.007499,0.141372
12700,0.007409,0.142975
12750,0.007501,0.142951
12800,0.007536,0.143597
12850,0.007513,0.145845
12900,0.007647,0.147632
12950,0.007615,0.149402
13000,0.007727,0.149995
13050,0.007731,0.151244
13100,0.007792,0.15095
13150,0.007772,0.152468
13200,0.007843,0.154361
13250,0.00782,0.155929
13300,0.007846,0.153321
13350,0.007739,0.157858
13400,0.008023,0.157584
13450,0.007887,0.157737
13500,0.008361,0.162142
13550,0.008216,0.161663
13600,0.008035,0.163633
13650,0.007894,0.166315
13700,0.00808,0.166447
13750,0.008457,0.167708
13800,0.008205,0.170094
13850,0.00812,0.170496
13900,0.008313,0.168877
13950,0.008249,0.172313
14000,0.008369,0.172494
14050,0.00846,0.17366
14100,0.008469,0.176375
14150,0.00839,0.175837
14200,0.008551,0.177633
14250,0.008549,0.180341
14300,0.008653,0.182027
14350,0.008463,0.183987
14400,0.008506,0.183137
14450,0.008601,0.183636
14500,0.008576,0.184778
14550,0.008829,0.187496
14600,0.008794,0.18761
14650,0.009514,0.190646
14700,0.008693,0.191234
14750,0.008718,0.192153
14800,0.00878,0.196662
14850,0.009059,0.196245
14900,0.008926,0.195144
14950,0.008856,0.197828
15000,0.008919,0.198496
15050,0.009003,0.200849
15100,0.009052,0.205613
15150,0.009135,0.202883
15200,0.00908,0.205079
15250,0.009154,0.202936
15300,0.009071,0.208177
15350,0.009155,0.207851
15400,0.009248,0.211492
15450,0.009354,0.211674
15500,0.009258,0.21265
15550,0.009207,0.213038
15600,0.009245,0.218265
15650,0.009438,0.217667
15700,0.009441,0.220916
15750,0.009449,0.221654
15800,0.00949,0.220554
15850,0.009531,0.224247
15900,0.009575,0.224914
15950,0.009444,0.225603
16000,0.009559,0.226399
16050,0.009708,0.229197
16100,0.009593,0.22895
16150,0.009646,0.232148
16200,0.009757,0.230427
16250,0.009651,0.232332
16300,0.00962,0.233417
16350,0.009809,0.237508
16400,0.009924,0.239299
16450,0.00977,0.241562
16500,0.009803,0.239608
16550,0.009834,0.244061
16600,0.00979,0.243103
16650,0.009921,0.248466
16700,0.009986,0.244035
16750,0.010134,0.249378
16800,0.010109,0.24809
16850,0.010125,0.251039
16900,0.010131,0.254245
16950,0.010185,0.254895
17000,0.010295,0.255176
17050,0.010269,0.258068
17100,0.01023,0.258791
17150,0.010418,0.26216
17200,0.010461,0.259136
17250,0.010393,0.26497
17300,0.010407,0.264285
17350,0.01041,0.26401
17400,0.010528,0.269688
17450,0.010449,0.268626
17500,0.010591,0.272271
17550,0.010536,0.272139
17600,0.010533,0.272321
17650,0.0107,0.276322
17700,0.010894,0.276706
17750,0.010596,0.278149
17800,0.01079,0.281012
17850,0.010752,0.284492
17900,0.011013,0.283667
17950,0.01088,0.287395
18000,0.010856,0.289052
18050,0.010869,0.289023
18100,0.010985,0.289643
18150,0.010933,0.290698
18200,0.01125,0.292984
18250,0.011125,0.292491
18300,0.010997,0.296392
18350,0.011178,0.298624
